stage,stage_num,cell_type,devvcell_system,perturbation,rescuer_perturbation,source_response_norm,rescuer_response_norm,optimal_rescuer_dose,minimal_rescue_cost,rescue_fraction,source_transfer_confidence,rescuer_transfer_confidence,response_recovery_class,recovery_cost,off_manifold_score
Theiler stage 16,16.0,splanchnic mesodermal cell,mesoderm,RA_hGas_120h,KO_TBX6,0.6192107707742899,0.5207230010722884,0.1287991789613939,0.6155678425594483,0.005883179664795346,0.3813007593354645,0.3813007593354645,reversible_response,1.0576528734009463,1.0576528734009463
Theiler stage 17,17.0,sympathetic neuron,neural,KO_PAX3,RA_hGas_120h,0.6164623551261855,1.0733909643523665,0.028812970768806206,0.615686056306056,0.001259280171245214,0.6609781500725435,0.6609781500725435,reversible_response,1.1006490522347823,1.0816489713266118
Theiler stage 14,14.0,splanchnic mesodermal cell,mesoderm,KO_TBX6,RA_hGas_120h,0.619663008867665,0.7368639536781201,0.09108557695184478,0.6160174200548688,0.005883179664795457,0.45374983499247895,0.45374983499247895,reversible_response,1.186781767940793,1.186781767940793
Theiler stage 20,20.0,parasympathetic neuron,neural,KO_TBX6,RA_hGas_120h,0.6200112217079761,0.7372780263055988,0.09108557695184483,0.6163635842964789,0.005883179664795235,0.45400481474207255,0.45400481474207255,reversible_response,1.1874486669557904,1.1874486669557904
Theiler stage 19,19.0,erythroid progenitor cell,hematopoietic,KO_PAX3,RA_hGas_120h,0.6172362153495845,1.0747384181985922,0.028812970768806217,0.6164589420226204,0.001259280171245103,0.6618078920586089,0.6618078920586089,reversible_response,1.1020307238232638,1.0986539177267245
Theiler stage 18,18.0,hematopoietic stem cell,hematopoietic,KO_PAX3,RA_hGas_120h,0.6175422273640443,1.0752712496498122,0.02881297076880623,0.6167645686822182,0.001259280171245103,0.6621360017210005,0.6621360017210005,reversible_response,1.1025770861937911,1.1025770861937911
Theiler stage 25,25.0,retinal bipolar neuron,neural,KO_TBX6,RA_hGas_120h,0.6204381391456378,0.7377856894491265,0.09108557695184477,0.6167879901021528,0.005883179664795235,0.4543174261358823,0.4543174261358823,reversible_response,1.1882663014186878,1.187674303779373
Theiler stage 26,26.0,sympathetic neuron,neural,KO_TBX6,RA_hGas_120h,0.6207181983812847,0.7381187181319583,0.09108557695184477,0.6170664016989994,0.005883179664795568,0.4545225002328419,0.4545225002328419,reversible_response,1.1888026723010106,1.1888026723010106
Theiler stage 14,14.0,cranial motor neuron,neural,KO_PAX3,RA_hGas_120h,0.6187969320952673,1.0774559551881564,0.028812970768806227,0.6180176933886524,0.001259280171245103,0.663481310814467,0.663481310814467,reversible_response,1.0977350975738074,1.0977350975738074
Theiler stage 15,15.0,enteric neuron,neural,KO_PAX3,RA_hGas_120h,0.6189519038710977,1.0777257937314555,0.028812970768806206,0.6181724700115984,0.001259280171245103,0.6636474733657568,0.6636474733657568,reversible_response,1.0999974453171697,1.0816232114675264
