method,shuffle_time,lineage,module_name,feature_type,mse,mae,n_predictions,bias,pearson,spearman
dct_wavelet,True,mesodermal,haematoendothelial,module_score,0.0001312451655973859,0.009832120800204888,4,-0.0024307624182618483,-0.5665977399257244,-0.7999999999999999
dct_wavelet,False,mesodermal,intermediate,module_score,0.0029960826842175747,0.050795049873119655,4,0.010422940686354895,-0.9889469056402137,-0.7999999999999999
dct_wavelet,True,mesodermal,intermediate,module_score,0.002214780288572107,0.03285116583741224,4,-0.014599289444337554,-0.17369715444761175,0.0
dct_wavelet,False,mesodermal,latent_1,latent_dimension,0.19515092741795637,0.37539041891523084,4,-0.12376572075731929,0.0383512138236462,0.19999999999999998
dct_wavelet,True,mesodermal,latent_1,latent_dimension,0.1752539621739709,0.38727695068039125,4,0.1042718163807308,-0.960017635795491,-0.7999999999999999
dct_wavelet,False,mesodermal,latent_2,latent_dimension,21.454529162,3.9637933153297813,4,0.9250688211422277,-0.3131975870789853,0.0
dct_wavelet,True,mesodermal,latent_2,latent_dimension,17.30839473988279,3.7152265459412153,4,-1.187785398002597,-0.7422064895429634,-0.7999999999999999
dct_wavelet,False,mesodermal,latent_3,latent_dimension,3.120873424102096,1.3841066432445743,4,-0.9714707925840111,0.4033410474341527,0.39999999999999997
dct_wavelet,True,mesodermal,latent_3,latent_dimension,7.348234307266851,2.4157958215871034,4,-0.4287958619496042,-0.6728532951902543,-0.7999999999999999
dct_wavelet,False,mesodermal,latent_4,latent_dimension,3.448312847836182,1.7322344964227567,4,-0.32048812099246565,-0.9906249759426107,-0.7999999999999999
dct_wavelet,True,mesodermal,latent_4,latent_dimension,2.1987957663954583,0.9503858322917713,4,0.5194836985077166,-0.1418919962754672,0.0
dct_wavelet,False,mesodermal,latent_5,latent_dimension,2.3385214464571638,1.3290585564340418,4,-0.6084331366307896,0.04489943196291541,0.19999999999999998
dct_wavelet,True,mesodermal,latent_5,latent_dimension,6.243891650517199,2.1789944054655495,4,0.8002528550462559,-0.19306884543499708,-0.39999999999999997
dct_wavelet,False,mesodermal,mesoderm,module_score,0.013841623171744174,0.07671129417251149,4,0.03645242170730262,-0.003609898114365415,0.0
dct_wavelet,True,mesodermal,mesoderm,module_score,0.013841623171744174,0.07671129417251149,4,0.03645242170730262,-0.003609898114365415,0.0
dct_wavelet,False,mesodermal,neural,module_score,0.0010301841456999618,0.019530144107165814,4,0.012976933558700648,-0.16096797514685118,0.39999999999999997
dct_wavelet,True,mesodermal,neural,module_score,0.002952643344455789,0.04508664092147721,4,-0.013751230324677375,-0.45065677061633624,0.39999999999999997
dct_wavelet,False,mesodermal,paraxial_mesoderm,module_score,0.008617927363235463,0.06316917141852196,4,-0.020339038119947493,-0.018847459039405434,0.0
dct_wavelet,True,mesodermal,paraxial_mesoderm,module_score,0.011019748186403309,0.09405972462994776,4,0.0471301844141086,-0.40394389706390976,-0.39999999999999997
