clone_id,clone_size,n_time_points,start_time,end_time,n_lineages
699*175*NA,2,1,12.0,12.0,1
699*NA*NA,1,1,12.0,12.0,1
700*601*NA,3,2,12.0,15.0,1
702*607*NA,2,1,15.0,15.0,1
704*613*NA,3,1,12.0,12.0,1
707*617*NA,3,2,12.0,21.0,1
708*NA*NA,3,1,15.0,15.0,1
709*466*NA,1,1,28.0,28.0,1
709*NA*18,1,1,15.0,15.0,1
709*NA*68,2,1,28.0,28.0,2
709*NA*76,1,1,28.0,28.0,1
709*NA*92,1,1,28.0,28.0,1
709*NA*96,2,1,28.0,28.0,1
709*NA*109,1,1,28.0,28.0,1
709*NA*122,1,1,28.0,28.0,1
709*NA*124,3,1,28.0,28.0,2
709*NA*135,1,1,28.0,28.0,1
709*NA*141,1,1,28.0,28.0,1
709*NA*143,1,1,28.0,28.0,1
709*NA*146,1,1,28.0,28.0,1
709*NA*148,1,1,28.0,28.0,1
709*NA*152,1,1,28.0,28.0,1
709*NA*155,1,1,28.0,28.0,1
709*NA*165,1,1,28.0,28.0,1
709*NA*169,1,1,28.0,28.0,1
709*NA*170,1,1,28.0,28.0,1
709*NA*171,1,1,28.0,28.0,1
709*NA*172,2,1,28.0,28.0,1
709*NA*173,1,1,28.0,28.0,1
709*NA*184,1,1,28.0,28.0,1
709*NA*193,2,1,28.0,28.0,2
709*NA*198,1,1,28.0,28.0,1
709*NA*200,1,1,28.0,28.0,1
709*NA*202,1,1,28.0,28.0,1
709*NA*209,1,1,28.0,28.0,1
709*NA*213,1,1,28.0,28.0,1
709*NA*214,1,1,28.0,28.0,1
709*NA*215,1,1,28.0,28.0,1
709*NA*221,1,1,28.0,28.0,1
709*NA*226,1,1,28.0,28.0,1
709*NA*227,2,1,28.0,28.0,1
709*NA*228,2,1,28.0,28.0,1
709*NA*230,1,1,28.0,28.0,1
709*NA*231,1,1,28.0,28.0,1
709*NA*241,1,1,28.0,28.0,1
709*NA*242,1,1,28.0,28.0,1
709*NA*247,1,1,28.0,28.0,1
709*NA*NA,262,4,12.0,28.0,3
710*620*NA,1,1,15.0,15.0,1
716*NA*23,2,1,15.0,15.0,1
721*22*NA,1,1,15.0,15.0,1
721*NA*NA,4,2,12.0,15.0,1
722*609*NA,8,2,12.0,21.0,1
723*332*NA,1,1,12.0,12.0,1
