seed,time,event,parent_index,lineage,variant,step
7,14.75,death,718,mesoderm_muscle,M3_ot_birth_death,2
7,14.75,death,721,erythroid,M3_ot_birth_death,2
7,14.75,death,736,mesoderm_muscle,M3_ot_birth_death,2
7,14.75,death,744,erythroid,M3_ot_birth_death,2
7,14.75,death,780,mesoderm_muscle,M3_ot_birth_death,2
7,14.75,death,796,mesoderm_muscle,M3_ot_birth_death,2
7,14.75,death,799,erythroid,M3_ot_birth_death,2
7,14.75,death,818,mesoderm_muscle,M3_ot_birth_death,2
7,14.75,death,836,mesoderm_muscle,M3_ot_birth_death,2
7,14.75,death,850,neural,M3_ot_birth_death,2
7,14.75,death,852,mesoderm_muscle,M3_ot_birth_death,2
7,14.75,death,853,mesoderm_muscle,M3_ot_birth_death,2
7,14.75,death,869,erythroid,M3_ot_birth_death,2
7,14.75,death,870,erythroid,M3_ot_birth_death,2
7,14.75,death,884,erythroid,M3_ot_birth_death,2
7,14.75,birth,7,mesoderm_muscle,M3_ot_birth_death,2
7,14.75,birth,14,mesoderm_muscle,M3_ot_birth_death,2
7,14.75,birth,19,erythroid,M3_ot_birth_death,2
7,14.75,birth,26,erythroid,M3_ot_birth_death,2
7,14.75,birth,27,erythroid,M3_ot_birth_death,2
7,14.75,birth,35,mesoderm_muscle,M3_ot_birth_death,2
7,14.75,birth,38,neural,M3_ot_birth_death,2
7,14.75,birth,54,erythroid,M3_ot_birth_death,2
