dataset,tf,target,rank,target_source,signed_prior,correlation_proxy
E3_MouseGastrulationData_full,Esrrb,Bcas2,10,pathwayfinder_omnipath_prior,1.0,
E3_MouseGastrulationData_full,Tfcp2l1,Cyp11a1,1,pathwayfinder_omnipath_prior,1.0,
E3_MouseGastrulationData_full,Tfcp2l1,Kdm3a,2,pathwayfinder_omnipath_prior,1.0,
E3_MouseGastrulationData_full,Tfcp2l1,Grhl1,3,pathwayfinder_omnipath_prior,1.0,
E3_MouseGastrulationData_full,Zfp42,Bmp4,1,pathwayfinder_omnipath_prior,1.0,
E3_MouseGastrulationData_full,Zfp42,Dkk1,2,pathwayfinder_omnipath_prior,1.0,
E3_MouseGastrulationData_full,Zfp42,Dppa4,3,pathwayfinder_omnipath_prior,1.0,
E3_MouseGastrulationData_full,Zfp42,Lefty2,4,pathwayfinder_omnipath_prior,1.0,
E3_MouseGastrulationData_full,Zfp42,Thy1,5,pathwayfinder_omnipath_prior,1.0,
E3_MouseGastrulationData_full,Zfp42,Socs3,6,pathwayfinder_omnipath_prior,1.0,
E3_MouseGastrulationData_full,Zfp42,Akt1,7,pathwayfinder_omnipath_prior,1.0,
E3_MouseGastrulationData_full,Zfp42,Pik3r1,8,pathwayfinder_omnipath_prior,1.0,
E3_MouseGastrulationData_full,Zfp42,Map2k3,9,pathwayfinder_omnipath_prior,-1.0,
E3_MouseGastrulationData_full,Zfp42,Fgf4,10,pathwayfinder_omnipath_prior,1.0,
E3_MouseGastrulationData_full,T,Sp5,1,coexpression_fallback,1.0,0.5921835688564241
E3_MouseGastrulationData_full,T,Cthrc1,2,coexpression_fallback,1.0,0.45504832812992646
E3_MouseGastrulationData_full,T,Tekt2,3,coexpression_fallback,1.0,0.41605684223234723
E3_MouseGastrulationData_full,T,A330009N23Rik,4,coexpression_fallback,1.0,0.3678520498653602
E3_MouseGastrulationData_full,T,Hdc,5,coexpression_fallback,1.0,0.3565498420047543
E3_MouseGastrulationData_full,T,Cfc1,6,coexpression_fallback,1.0,0.35019671232923477
E3_MouseGastrulationData_full,T,Dgkk,7,coexpression_fallback,1.0,0.33102389000216687
E3_MouseGastrulationData_full,T,Ddo,8,coexpression_fallback,1.0,0.3286450777477491
E3_MouseGastrulationData_full,T,Cdx2,9,coexpression_fallback,1.0,0.31357953367828956
E3_MouseGastrulationData_full,T,Cobl,10,coexpression_fallback,1.0,0.31133316823612256
