clone_id,clone_size,clone_start_time,clone_end_time,clone_time_span,initial_cell_state,terminal_fate_entropy,terminal_lineage_entropy,clone_multilineage_score,clone_branch_count,clone_fate_diversification_index,clone_reprogramming_success_split,clone_state_transition_entropy,terminal_sampling_depth,event_time_used,pre_event_cells,branch_window_condensation_exposure,global_centroid_condensation_exposure,same_lineage_centroid_condensation_exposure,alignment_exposure,fate_entropy_exposure,density_exposure,post_event_divergence_exposure,teacher_velocity_bias_exposure
2275,8,2.0,6.0,4.0,undiff,0.0,0.0,1,1,0.0,,0.9999999999971146,2,2,8,-1.7843334498589196,-3.0592317597153467,-1.7843334498589196,0.9999999999999998,0.35805620134978466,580.8829254961071,3.431618791399111,0.23016880370058201
2276,12,4.0,6.0,2.0,undiff,0.8812908992278073,0.8812908992278073,2,2,0.30000000000000004,,0.8734790278674449,10,2,12,-0.5740618734500554,-2.3457540371446135,-0.5740618734500554,1.0,0.3019720947207539,1749.7628725378179,2.6183549856371426,0.043143466800532965
2277,5,2.0,6.0,4.0,undiff,0.0,0.0,1,1,0.0,,0.9709505944517833,3,2,5,-1.832110394106807,-3.034647164739429,-1.832110394106807,1.0,0.2665063169277771,2538.8484398350397,3.2238949813745945,0.07650975120868875
2278,11,4.0,6.0,2.0,undiff,0.9544340029220796,0.9544340029220796,2,2,0.375,,0.9713067383150767,8,2,11,-0.7212960935997969,-2.2932099109863024,-0.7212960935997969,1.0,0.3224170431853512,2796.8318009130344,2.710510178795246,0.131466260689801
2279,7,4.0,6.0,2.0,undiff,0.0,0.0,1,1,0.0,,0.0,5,2,7,-1.3425427411961064,-2.5031481032908784,-1.3425427411961064,1.0,0.2886499874073774,860.7968572968314,2.6759499372533972,0.411961342183567
228,6,2.0,6.0,4.0,undiff,0.9182958340516042,0.9182958340516042,2,2,0.33333333333333337,,0.9182958340516042,3,2,6,-1.1080392398758914,-5.194075216099034,-1.1080392398758914,0.9999999999999999,0.2787962653198386,272.19928986147744,5.258312909068052,0.33301768866304454
2280,14,4.0,6.0,2.0,undiff,0.0,0.0,1,1,0.0,,0.0,12,2,14,-1.0579752093620007,-2.36586810627951,-1.0579752093620007,1.0,0.2666961087091874,2418.081115465153,2.5001188208584177,0.3219386128969908
2281,22,4.0,6.0,2.0,undiff,0.28639695711307084,0.28639695711307084,2,2,0.050000000000000044,,0.574635697834794,20,2,22,-0.7075217471873405,-2.609588564504438,-0.7075217471873405,1.0,0.27210847433785934,4690.681772268037,2.737372886597841,-0.048785430068563285
2282,36,4.0,6.0,2.0,Baso,0.0,0.0,1,1,0.0,,0.0,21,2,36,-0.6141647384092819,-3.159056932238796,-0.6141647384092819,1.0,0.262716060975353,1710.1415199092578,2.9649184399220965,-0.09596589607835569
2284,10,2.0,6.0,4.0,undiff,0.0,0.0,1,1,0.0,,0.8812908992278073,2,2,3,-22.838322587549488,-22.872423021436617,-22.838322587549488,0.9999999999999997,0.5545213253092387,1.333033911469032,23.480872454766555,0.28920437995115056
2286,12,2.0,6.0,4.0,undiff,0.9182958340516042,0.9182958340516042,2,2,0.33333333333333337,,0.8112781244562475,9,2,12,-1.58944403625451,-2.564011059391911,-1.58944403625451,1.0,0.28385706036914743,1754.1273533304582,2.790433314401758,0.23730740111774865
2287,30,4.0,6.0,2.0,Baso,0.2498822928303001,0.2498822928303001,2,2,0.04166666666666663,,0.21084230031564682,24,2,30,-0.739595747185514,-3.061343666728623,-0.739595747185514,1.0,0.2627104525692515,2078.4677091208373,3.11495338424033,-0.05767324751231522
2288,9,4.0,6.0,2.0,undiff,0.0,0.0,1,1,0.0,,0.0,7,2,9,-0.8643660136158359,-2.17867817941964,-0.8643660136158359,1.0,0.26304788095355897,1404.7280274088794,2.3092104721280378,0.37060906121836834
2289,10,2.0,4.0,2.0,undiff,0.7298466991593667,0.7298466991593667,3,3,0.30000000000000004,,0.7298466991593667,10,2,2,-2.6478486844818017,-2.5345262098390178,-2.6478486844818017,0.9999999999999998,0.5237531354500826,1.1635022965097535,3.9441843647591805,0.06329508775100536
2290,6,4.0,6.0,2.0,Meg,0.0,0.0,1,1,0.0,,0.0,2,2,6,-0.4598074159262803,-7.00523017317629,-0.4598074159262803,1.0,0.2626495351628339,274.59613675038497,6.827542391956854,-0.029006381809439822
2291,10,2.0,6.0,4.0,undiff,0.0,0.0,1,1,0.0,,0.9372305632133988,2,2,10,-3.0645401238817884,-4.362314118639409,-3.0645401238817884,0.9999999999999998,0.33015678292282064,502.0182110691765,4.746446852720932,0.13999164208550616
